你好	hello
谢谢	thank you
再见	goodbye
朋友	friend
老师	teacher
学生	student
学校	school
中国	China
今天	today
明天	tomorrow
昨天	yesterday
时间	time
吃饭	to eat a meal
喝水	to drink water
睡觉	to sleep
工作	to work
家	home / family
爸爸	dad
妈妈	mom
孩子	child
